Trial,Acc. Value,Avg Trade Size,Median Trade Size,Avg Hold (hrs),Median Hold (hrs),% Long,Expected Value,Median Leverage,Avg Leverage
1,15161.731433200013,19473.237432608694,8075.2,13.565217391304348,8,100,243.99774974021796,15,14.869565217391305
2,8308.891228350001,6573.783914285714,6304.999999999999,11.619047619047619,4,95.45454545454545,-70.58262154999994,15,13.523809523809524
3,8732.054192449998,4305.176428000001,4608.396,19.36,8,96.15384615384616,-44.161177282692286,15,13.2
4,15559.102645804991,14109.212335806453,5998.5,13.161290322580646,12,96.875,187.52398946234356,15,14.32258064516129
5,6583.911928950008,9901.300228,5995.9573,10.72,8,96.15384615384616,-121.38736826346131,15,14.36
6,8188.759615449995,15688.928881249998,9212.740000000002,16.75,8,94.11764705882352,-90.69741550294152,15,14.1875
7,9928.547150410004,5396.286728571429,4605.9157,18.857142857142858,8,96.55172413793103,3.6673806293104207,15,14.321428571428571
8,6413.118790349988,11312.151880769232,4899.1654,12.76923076923077,8,96.29629629629629,-120.88685012777808,15,13.846153846153847
9,9733.4745827,5629.35139,4966.53,17.466666666666665,8,96.7741935483871,-3.454968930645149,15,14.5
10,14989.169191700008,21130.258756000003,8623.56,27.52,16,96.15384615384616,207.2806022134617,15,14.16
999999,10359.8760759365,11351.96879752915,6329.096439999999,16.17885956259729,8.8,96.45309449575218,19.12993203878153,15,14.129103780394454
