Trial,Acc. Value,Avg Trade Size,Median Trade Size,Avg Hold (hrs),Median Hold (hrs),% Long,Expected Value,Median Leverage,Avg Leverage
1,10595.267338999998,4722.168366666668,2211.35,21.333333333333332,20,100,24.577882483333312,10,10
2,10481.416928999995,5351.040304347826,2377.3,21.043478260869566,12,100,26.29669723913042,10,10
3,9994.793714500001,5430.50712,5575.5,24.64,20,100,5.226226440000006,10,10
4,10762.893088500003,5152.659833333333,3544.75,56,38,100,68.76275341666665,10,10
5,9507.542765999993,4735.060388888889,1427.5,21.333333333333332,16,100,-22.63380797222227,10,10
6,9990.354231999998,6288.054322580645,7376,18.70967741935484,12,96.875,5.715851968750048,10,10
7,10500.288293,4531.413090909091,1832.1,24.90909090909091,12,100,27.286566181818145,10,10
8,9384.447708000003,5262.126875,5669.25,32.75,34,100,-33.22518843750009,10,10
9,9619.237767500006,5489.743928571429,5678,27.142857142857142,26,93.33333333333333,-20.19676049999995,10,10
10,8860.889009000002,3603.5428333333334,1469.85,28.666666666666668,20,100,-43.37431704166669,10,10
999999,9969.71308465,5056.631706363121,3716.16,27.652843706550577,21,99.02083333333334,3.843590377830959,10,10
